Object_model, Size of point cloud, CONST_RHO, Size Xi, CONST_D, RESELUTION, Number of grasps, OcTree created, Xi-sets calculated, ZMS calculated, L1-values calculated, L1-values sorted, fingerposes created, Best fingerpos
pc_from_CAD/Ball.pcd, 3939, 5, 100, 1, 5, 60, 8.821487426757812e-06, 0.032494306564331055, 2.284960985183716, 2.3322653770446777, 2.346989393234253, 3.04585862159729, 103.44118118286133
pc_from_CAD/Ball.pcd, 3939, 5, 100, 1, 5, 60, 9.059906005859375e-06, 0.03262138366699219, 2.347059488296509, 2.3913064002990723, 2.4051361083984375, 3.1026289463043213, 101.7917914390564
pc_from_CAD/Ball.pcd, 3939, 5, 100, 1, 5, 60, 8.344650268554688e-06, 0.03248739242553711, 2.3619930744171143, 2.409778356552124, 2.423701524734497, 3.121211290359497, 107.27682733535767
pc_from_CAD/Ball.pcd, 3939, 5, 100, 1, 5, 60, 9.5367431640625e-06, 0.03347373008728027, 2.2774412631988525, 2.325371265411377, 2.3401200771331787, 3.0391063690185547, 99.47215938568115
pc_from_CAD/Ball.pcd, 3939, 5, 100, 1, 5, 60, 9.298324584960938e-06, 0.03309774398803711, 2.2664616107940674, 2.313391923904419, 2.3271398544311523, 3.0271835327148438, 100.67935729026794
pc_from_CAD/Ball.pcd, 3939, 5, 100, 1, 5, 60, 8.344650268554688e-06, 0.032909393310546875, 2.269827127456665, 2.316812753677368, 2.330821990966797, 3.0400731563568115, 101.99783515930176
pc_from_CAD/Ball.pcd, 3939, 5, 100, 1, 5, 60, 8.344650268554688e-06, 0.03298759460449219, 2.326289415359497, 2.3735718727111816, 2.3883135318756104, 3.092139959335327, 102.052894115448
pc_from_CAD/Pen.pcd, 6762, 5, 57, 1, 5, 60, 9.298324584960938e-06, 0.053449392318725586, 3.766559362411499, 3.8509161472320557, 3.870346784591675, 4.559670686721802, 149.76714372634888
pc_from_CAD/Kopp.pcd, 65602, 5, 104, 1, 5, 60, 1.049041748046875e-05, 0.7019729614257812, 54.147464990615845, 54.933863401412964, 55.241082429885864, 55.95305943489075, 210.34457898139954
pc_from_CAD/Pen.pcd, 6762, 5, 57, 1, 5, 60, 9.059906005859375e-06, 0.054459571838378906, 3.7510790824890137, 3.830418109893799, 3.850836753845215, 4.544966220855713, 143.32231092453003
pc_from_CAD/Pen.pcd, 6762, 5, 57, 1, 5, 60, 1.049041748046875e-05, 0.05445456504821777, 3.6962153911590576, 3.7741050720214844, 3.7945048809051514, 4.507845878601074, 145.73816800117493
pc_from_CAD/Pen.pcd, 882, 5, 10, 1, 5, 60, 7.867813110351562e-06, 0.00530695915222168, 0.07230615615844727, 0.08272147178649902, 0.08517599105834961, 0.7702879905700684, 15.803472518920898
pc_from_CAD/Pen.pcd, 6762, 5, 57, 0.3, 5, 60, 8.821487426757812e-06, 0.05344557762145996, 3.6983137130737305, 3.7771871089935303, 3.7979183197021484, 4.482427358627319, 147.1573441028595
pc_from_CAD/Pen.pcd, 6762, 5, 57, 0.3, 5, 60, 8.58306884765625e-06, 0.05427742004394531, 3.6099905967712402, 3.69211483001709, 3.7130239009857178, 4.403265714645386, 145.32569909095764
pc_from_CAD/Pen.pcd, 6762, 5, 57, 0.3, 5, 60, 8.106231689453125e-06, 0.05434679985046387, 3.6407432556152344, 3.723909854888916, 3.743654251098633, 4.4386351108551025, 137.96697425842285
pc_from_CAD/Pen.pcd, 6762, 5, 57, 0.3, 5, 60, 1.0013580322265625e-05, 0.05507016181945801, 3.576298952102661, 3.654618740081787, 3.6741209030151367, 4.362577199935913, 142.49764037132263
pc_from_CAD/Pen.pcd, 6762, 5, 57, 0.3, 5, 60, 9.298324584960938e-06, 0.05425763130187988, 3.693474054336548, 3.7735626697540283, 3.7925496101379395, 4.49228572845459, 148.5952606201172
pc_from_CAD/Pen.pcd, 6762, 5.01, 59, 0.3, 5, 60, 7.62939453125e-06, 0.051995277404785156, 3.6963913440704346, 3.777055501937866, 3.7973246574401855, 4.486784219741821, 150.3146367073059
pc_from_CAD/Kopp.pcd, 65602, 5, 104, 0.3, 5, 60, 1.33514404296875e-05, 0.71087646484375, 55.08073043823242, 55.857667446136475, 56.178523540496826, 56.87575101852417, 216.9107482433319
pc_from_CAD/Kopp.pcd, 65602, 5.01, 104, 0.3, 5, 60, 1.0013580322265625e-05, 0.69342041015625, 56.60689926147461, 57.37878727912903, 57.669739723205566, 58.364920139312744, 215.64482259750366
pc_from_CAD/Kopp.pcd, 65602, 5, 104, 0.3, 5, 60, 1.1205673217773438e-05, 0.7468798160552979, 56.24671769142151, 57.0141704082489, 57.321168661117554, 58.029518365859985, 217.61968731880188
pc_from_CAD/Kopp.pcd, 65602, 5.01, 104, 0.3, 5, 60, 9.775161743164062e-06, 0.7319567203521729, 55.82023096084595, 56.591023683547974, 56.8724730014801, 57.574453353881836, 216.90774488449097
pc_from_CAD/Kopp.pcd, 65602, 5.218181302309036, 114, 0.3, 5, 60, 1.0013580322265625e-05, 0.7592637538909912, 61.39004635810852, 62.15896224975586, 62.46828579902649, 63.17200183868408, 222.1503803730011
pc_from_CAD/Kopp.pcd, 65602, 5.228181302309036, 115, 0.3, 5, 60, 1.0967254638671875e-05, 0.7463474273681641, 62.680641412734985, 63.46913933753967, 63.75172805786133, 64.46021056175232, 223.09785866737366
pc_from_CAD/Kopp.pcd, 65602, 5.440891936540603, 122, 0.3, 5, 60, 8.106231689453125e-06, 0.7585246562957764, 67.62329006195068, 68.39453673362732, 68.6970911026001, 69.3967490196228, 229.90821528434753
pc_from_CAD/Kopp.pcd, 65602, 4, 67, 0.3, 5, 60, 5.7220458984375e-06, 0.5846576690673828, 33.265767335891724, 34.063047885894775, 34.37798047065735, 35.07760190963745, 188.81089115142822
pc_from_CAD/Kopp.pcd, 65602, 4.01, 67, 0.3, 5, 60, 3.814697265625e-06, 0.5900661945343018, 34.87970566749573, 35.70183253288269, 35.99542856216431, 36.681567668914795, 188.98730278015137
pc_from_CAD/Kopp.pcd, 65602, 3.810628833770752, 59, 0.3, 5, 60, 4.291534423828125e-06, 0.5694537162780762, 31.625868558883667, 32.46098303794861, 32.77678680419922, 33.47455596923828, 55.542588233947754
pc_from_CAD/Kopp.pcd, 65602, 3.8206288337707517, 59, 0.3, 5, 60, 4.5299530029296875e-06, 0.5735282897949219, 32.109368085861206, 32.94806718826294, 33.246957778930664, 33.94618558883667, 56.16715979576111
pc_from_CAD/Kopp.pcd, 65602, 3.754530492782593, 59, 0.3, 5, 60, 4.5299530029296875e-06, 0.5689206123352051, 31.548882007598877, 32.38198280334473, 32.69628977775574, 33.397438526153564, 55.26542019844055
pc_from_CAD/Kopp.pcd, 65602, 3.7645304927825927, 59, 0.3, 5, 60, 1.9550323486328125e-05, 0.556018590927124, 30.759920835494995, 31.56773281097412, 31.88191819190979, 32.58158493041992, 54.68070411682129
pc_from_CAD/Kopp.pcd, 65602, 3.6987025270462035, 58, 0.3, 5, 60, 4.5299530029296875e-06, 0.567439079284668, 30.334797143936157, 31.174707412719727, 31.468937873840332, 32.1680212020874, 60.18815612792969
pc_from_CAD/Kopp.pcd, 65602, 3.7087025270462033, 59, 0.3, 5, 60, 4.291534423828125e-06, 0.5679080486297607, 30.013665914535522, 30.841731071472168, 31.149272203445435, 31.84545588493347, 59.81820297241211
pc_from_CAD/Kopp.pcd, 65602, 3.637948455810547, 56, 0.3, 5, 60, 4.0531158447265625e-06, 0.5692148208618164, 28.525527477264404, 29.368622064590454, 29.66935634613037, 30.38133192062378, 52.74700379371643
pc_from_CAD/Kopp.pcd, 65602, 3.6479484558105466, 56, 0.3, 5, 60, 4.76837158203125e-06, 0.5720565319061279, 28.961277961730957, 29.80654740333557, 30.124454736709595, 30.82207751274109, 53.01941704750061
pc_from_CAD/Kopp.pcd, 65602, 3.637948455810547, 56, 0.3, 5, 60, 5.4836273193359375e-06, 0.5550622940063477, 29.557199001312256, 30.349556922912598, 30.658159494400024, 31.3757483959198, 55.13962268829346
pc_from_CAD/Kopp.pcd, 65602, 3.6479484558105466, 56, 0.3, 5, 60, 4.5299530029296875e-06, 0.574589729309082, 29.132214546203613, 29.921730756759644, 30.207090616226196, 30.920690059661865, 54.6930091381073
pc_from_CAD/Kopp.pcd, 65602, 3.5822387940883638, 54, 0.3, 5, 60, 4.5299530029296875e-06, 0.5493276119232178, 27.417866468429565, 28.21875524520874, 28.535571813583374, 29.25658130645752, 195.6228427886963
pc_from_CAD/Kopp.pcd, 65602, 3.5922387940883636, 54, 0.3, 5, 60, 4.291534423828125e-06, 0.561549186706543, 27.50211000442505, 28.3030788898468, 28.602648735046387, 29.31884765625, 196.35759806632996
pc_from_CAD/Kopp.pcd, 65602, 3.3860499851703647, 49, 0.3, 5, 60, 4.0531158447265625e-06, 0.5446341037750244, 25.2984139919281, 26.097970008850098, 26.395976781845093, 27.10782504081726, 158.04774022102356
pc_from_CAD/Kopp.pcd, 65602, 3.3960499851703645, 50, 0.3, 5, 60, 4.76837158203125e-06, 0.5209352970123291, 24.942599534988403, 25.742793321609497, 26.03674340248108, 26.747947931289673, 157.01651239395142
pc_from_CAD/Kopp.pcd, 65602, 3.2274392061233526, 44, 0.3, 5, 60, 4.0531158447265625e-06, 0.5256707668304443, 23.401780605316162, 24.19899821281433, 24.49059820175171, 25.20502519607544, 156.54544949531555
pc_from_CAD/Kopp.pcd, 65602, 3.2374392061233523, 44, 0.3, 5, 60, 4.0531158447265625e-06, 0.5167324542999268, 22.994826316833496, 23.7969229221344, 24.116806268692017, 24.833194255828857, 155.826801776886
pc_from_CAD/Kopp.pcd, 65602, 3.070329869985581, 39, 0.3, 5, 60, 4.0531158447265625e-06, 0.5123815536499023, 19.75643539428711, 20.557278633117676, 20.839461088180542, 21.557057857513428, 152.29766583442688
pc_from_CAD/Kopp.pcd, 65602, 3.080329869985581, 39, 0.3, 5, 60, 4.291534423828125e-06, 0.5072746276855469, 19.891165256500244, 20.697264671325684, 20.994751691818237, 21.710888385772705, 151.89024901390076
pc_from_CAD/Kopp.pcd, 65602, 3.637948455810547, 56, 0.3, 5, 60, 5.4836273193359375e-06, 0.5825581550598145, 27.98151206970215, 28.74703598022461, 29.043467044830322, 29.732453107833862, 52.17725729942322
pc_from_CAD/Kopp.pcd, 65602, 3.6479484558105466, 56, 0.3, 5, 60, 4.291534423828125e-06, 0.6054742336273193, 27.605515480041504, 28.351696252822876, 28.627376317977905, 29.312774896621704, 51.444993019104004
pc_from_CAD/Kopp.pcd, 65602, 3.585203474521637, 54, 0.3, 5, 60, 4.5299530029296875e-06, 0.5813717842102051, 25.68606185913086, 26.446293830871582, 26.762545585632324, 27.454647302627563, 180.70148181915283
